plot_ID_and_subplot,habitat,subplot,depth_organic_cm,depth_total_cm,soil_wet_weight_g,soil_dry_weight_after_sieving_g,m_crucible_g,m_after_g
2,LH,1,3.0,14.5,6.79,3.795,7.893,12.24
2,LH,2,0.0,13.0,5.35,2.073,8.397,12.03
2,LH,3,1.0,6.0,4.02,1.199,7.098,9.713
2,LH,4,5.0,13.5,0.0,3.056,6.782,0.0
2,LH,5,2.0,9.0,8.05,0.0,0.0,0.0
2,DSH,1,9.5,41.0,6.44,2.256,8.666,11.303
2,DSH,2,3.0,14.0,8.66,2.917,8.681,11.462
2,DSH,3,4.5,9.0,5.2,1.542,5.08,7.669
2,DSH,4,3.0,40.0,8.73,3.872,5.524,9.248
2,DSH,5,7.0,23.0,8.74,4.0,19.69,22.31
2,TL,1,3.5,10.0,5.1,1.724,6.463,9.667
2,TL,2,7.0,28.0,2.38,0.819,6.626,9.33
2,TL,3,4.0,9.0,10.06,3.627,7.54,10.531
2,TL,4,3.5,16.0,7.2,2.829,6.121,9.366
2,TL,5,6.0,22.0,11.3,0.0,0.0,0.0
2,BF,1,12.5,31.0,7.73,0.0,8.793,12.579
2,BF,2,3.0,6.0,6.23,3.02,8.542,12.955
2,BF,3,1.0,10.0,3.28,1.407,8.314,0.0
2,BF,4,2.0,8.0,3.93,1.593,8.303,11.37
2,BF,5,5.5,12.0,7.23,2.108,6.929,9.601
5,LH,1,3.5,10.0,7.6,4.822,6.661,9.001
5,LH,2,6.5,18.5,16.91,10.206,5.942,0.0
5,LH,3,7.0,19.0,20.57,9.338,20.85,25.511
5,LH,4,5.0,5.0,7.07,1.244,7.836,8.333
5,LH,5,3.0,18.0,4.59,2.696,18.424,20.715
5,DSH,1,7.0,14.0,3.57,1.302,8.094,8.533
5,DSH,2,12.5,31.0,13.06,7.331,34.244,38.152
5,DSH,3,8.0,24.0,6.02,3.31,38.875,41.407
5,DSH,4,2.0,2.0,3.09,0.775,11.17,11.453
5,DSH,5,4.5,5.0,4.83,1.777,7.959,8.395
5,TL,1,11.0,28.0,16.39,,,
5,TL,2,7.0,15.0,11.28,,,
5,TL,3,16.0,29.0,25.95,,,
5,TL,4,10.0,29.0,26.09,,,
5,TL,5,5.0,20.0,8.22,,,
5,BF,1,6.0,15.0,10.17,5.138,11.105,11.381
5,BF,2,12.0,31.0,12.01,4.92,11.455,12.26
5,BF,3,6.0,14.0,10.69,5.013,9.033,9.952
5,BF,4,1.5,18.0,13.61,7.093,7.355,7.697
5,BF,5,7.0,22.0,5.94,2.644,9.678,10.531
7,LH,1,1.7,22.0,1.84,0.791,10.202,10.676
7,LH,2,2.5,26.0,14.98,9.609,34.909,40.795
7,LH,3,7.3,20.0,13.94,6.04,8.134,8.849
7,LH,4,3.5,8.0,3.9,1.854,9.199,9.815
7,LH,5,2.5,18.0,5.95,2.873,8.088,9.622
7,DSH,1,2.3,33.0,6.07,3.871,19.69,21.634
7,DSH,2,5.3,35.0,11.1,3.447,20.919,21.958
7,DSH,3,6.3,25.0,38.7,3.296,34.102,35.206
7,DSH,4,5.0,28.0,9.17,4.13,32.631,35.413
7,DSH,5,5.1,28.0,11.69,5.091,25.935,30.712
7,TL,1,2.5,18.0,6.69,2.265,9.02,9.398
7,TL,2,4.5,17.0,8.2,2.912,7.716,8.38
7,TL,3,4.7,20.0,6.84,1.882,9.556,9.872
7,TL,4,2.5,14.0,5.8,1.986,16.307,17.445
7,TL,5,2.8,21.0,5.47,2.874,11.035,12.089
