species_name,subplot,habitat,biomass_OLD,biomass_NEW,group_dataset_and_notes,Year,total_biomass
Empetrum nigrum,1.0,LH,18.77,1.7,5.0,21082024,20.47
Vaccinium uliginosum,1.0,LH,0.32,0.39,5.0,21082024,0.71
Arctous alpina,1.0,LH,0.59,0.07,5.0,21082024,0.6599999999999999
Vaccinium vitis-idaea,1.0,LH,0.02,0.09,5.0,21082024,0.11
Betula nana,1.0,LH,9.83,0.14,5.0,21082024,9.97
Arctous alpina,2.0,LH,11.08,4.869,5.0,21082024,15.949
Betula nana,2.0,LH,4.38,0.14,5.0,21082024,4.52
Vaccinium vitis-idaea,2.0,LH,0.12,0.001,5.0,21082024,0.121
Campanula rotundifolia,2.0,LH,,0.001,5.0,21082024,0.001
Kalmina procumbens,2.0,LH,3.19,2.25,5.0,21082024,5.4399999999999995
Empetrum nigrum,2.0,LH,,0.33,5.0,21082024,0.33
Betula nana,3.0,LH,3.82,1.11,5.0,21082024,4.93
Empetrum nigrum,3.0,LH,,0.08,5.0,21082024,0.08
Kalmina procumbens,3.0,LH,11.5,8.93,5.0,21082024,20.43
Vaccinium uliginosum,4.0,LH,3.6215,1.7014,5.0,21082024,5.322900000000001
Betula nana,4.0,LH,1.787,0.9534,5.0,21082024,2.7404
Pedicularis oederi,4.0,LH,,0.0336,5.0,21082024,0.0336
Empetrum nigrum,4.0,LH,0.0221,0.0137,5.0,21082024,0.0358
Vaccinium uliginosum,5.0,LH,0.3954,0.1042,5.0,21082024,0.4996
Vaccinium vitis-idaea,5.0,LH,0.5972,0.3802,5.0,21082024,0.9773999999999999
Betula nana,1.0,DSH,23.92,2.45,5.0,21082024,26.37
Vaccinium vitis-idaea,1.0,DSH,1.22,0.54,5.0,21082024,1.76
Empetrum nigrum,1.0,DSH,9.72,2.93,5.0,21082024,12.65
Pedicularis oederi,1.0,DSH,,0.001,5.0,21082024,0.001
Betula nana,2.0,DSH,30.676,5.5832,5.0,21082024,36.2592
Vaccinium myrtillus,2.0,DSH,11.691,1.2283,5.0,21082024,12.9193
Vaccinium vitis-idaea,2.0,DSH,0.2437,0.2261,5.0,21082024,0.4698
Empetrum nigrum,2.0,DSH,4.871,0.66,5.0,21082024,5.531000000000001
Vaccinium vitis-idaea,3.0,DSH,0.535,0.717,5.0,21082024,1.252
Betula nana,3.0,DSH,14.084,2.392,5.0,21082024,16.476
Empetrum nigrum,3.0,DSH,0.066,0.07,5.0,21082024,0.136
Empetrum nigrum,4.0,DSH,12.94,1.9001,5.0,21082024,14.8401
Vaccinium vitis-idaea,4.0,DSH,1.2422,0.7996,5.0,21082024,2.0418
Betula nana,4.0,DSH,12.72,,5.0,21082024,12.72
Vaccinium myrtillus,4.0,DSH,0.04,0.8551,5.0,21082024,0.8951
Carex bigelowii,5.0,DSH,,0.41,5.0,21082024,0.41
Betula nana,5.0,DSH,31.81,3.8049,5.0,21082024,35.6149
Empetrum nigrum,5.0,DSH,0.07,0.03,5.0,21082024,0.1
Vaccinium uliginosum,5.0,DSH,0.99,0.13,5.0,21082024,1.12
Salix herbacea,5.0,DSH,0.25,0.2527,5.0,21082024,0.5026999999999999
Vaccinium vitis-idaea,5.0,DSH,0.08,0.02,5.0,21082024,0.1
Kalmina procumbens,1.0,TL,,,5.0,21082024,0.0
Phyllodoce caerulea,1.0,TL,,1.169,5.0,21082024,1.169
Vaccinium myrtillus,1.0,TL,0.779,3.283,5.0,21082024,4.062
Avenella flexuosa,1.0,TL,,0.026,5.0,21082024,0.026
Empetrum nigrum,1.0,TL,8.849,,5.0,21082024,8.849
Salix herbacea,1.0,TL,0.567,0.751,5.0,21082024,1.318
Kalmina procumbens,1.0,TL,0.261,,5.0,21082024,0.261
Salix herbacea,2.0,TL,0.0467,0.0826,5.0,21082024,0.1293
Vaccinium uliginosum,2.0,TL,2.1414,1.341,5.0,21082024,3.4824
Empetrum nigrum,2.0,TL,,2.5495,5.0,21082024,2.5495
